"id","betfair_id"
"S14000039","1.164784490"
"S14000040","1.164784498"
"S14000041","1.164784529"
"S14000042","1.164784530"
"S14000043","1.164784539"
"S14000044","1.164784547"
"S14000045","1.164784572"
"S14000046","1.164784574"
"S14000047","1.164784577"
"S14000048","1.164784591"
"S14000049","1.164784622"
"S14000050","1.164785235"
"S14000051","1.164785957"
"S14000052","1.164786342"
"S14000053","1.164786361"
"S14000054","1.164786380"
"S14000055","1.164786564"
"S14000056","1.164786566"
"S14000057","1.164786567"
"S14000058","1.164786568"
"S14000059","1.164786569"
"W07000041","1.164791178"
"W07000042","1.165007165"
"W07000043","1.164787487"
"W07000044","1.165118211"
"W07000045","1.164790857"
"W07000046","1.165007372"
"W07000047","1.165117978"
"W07000048","1.165117421"
"W07000049","1.164787348"
"W07000050","1.164790852"
"W07000051","1.164790853"
"W07000052","1.165117417"
"W07000053","1.165118186"
"W07000054","1.165008499"
"W07000055","1.165008501"
"W07000056","1.165117091"
"W07000057","1.164787489"
"W07000058","1.164787486"
"W07000059","1.165006395"
"W07000060","1.165118209"
"W07000061","1.164790856"
"W07000062","1.165006392"
"W07000063","1.164791174"
"W07000064","1.165006391"
"W07000065","1.165117189"
"W07000066","1.164790855"
"W07000067","1.165006111"
"W07000068","1.164789774"
"W07000069","1.165008500"
"W07000070","1.165006396"
"W07000071","1.165008498"
"W07000072","1.164787490"
"W07000073","1.164789775"
"W07000074","1.165008502"
"W07000075","1.164791175"
"W07000076","1.164790724"
"W07000077","1.165007378"
"W07000078","1.164791177"
"W07000079","1.165006113"
"W07000080","1.165006295"
